scores.visitors.points,scores.home.points,last_ten_w_prc,w_prc,games_played,points0,points1,points2,points3,points4,min0,min1,min2,min3,min4,fgm0,fgm1,fgm2,fgm3,fgm4,fga0,fga1,fga2,fga3,fga4,fgp0,fgp1,fgp2,fgp3,fgp4,ftm0,ftm1,ftm2,ftm3,ftm4,fta0,fta1,fta2,fta3,fta4,ftp0,ftp1,ftp2,ftp3,ftp4,tpm0,tpm1,tpm2,tpm3,tpm4,tpa0,tpa1,tpa2,tpa3,tpa4,tpp0,tpp1,tpp2,tpp3,tpp4,offReb0,offReb1,offReb2,offReb3,offReb4,defReb0,defReb1,defReb2,defReb3,defReb4,totReb0,totReb1,totReb2,totReb3,totReb4,assists0,assists1,assists2,assists3,assists4,pFouls0,pFouls1,pFouls2,pFouls3,pFouls4,steals0,steals1,steals2,steals3,steals4,turnovers0,turnovers1,turnovers2,turnovers3,turnovers4,blocks0,blocks1,blocks2,blocks3,blocks4,plusMinus0,plusMinus1,plusMinus2,plusMinus3,plusMinus4
97.0,111.0,0.3,0.36363636363636365,11,7,26,10,12,6,20,31,32,16,13,3,9,4,4,3,5,16,9,6,5,60.0,56.3,44.4,66.7,60.0,0,6,1,1,0,0,6,1,2,0,0,100.0,100.0,50.0,0,1,2,1,3,0,3,4,4,5,0,33.3,50.0,25.0,60.0,0,0,1,0,2,2,1,5,3,4,1,1,6,3,6,3,5,4,7,1,2,0,1,2,1,2,0,0,2,1,2,0,5,2,1,0,0,0,0,1,0,22.0,13.0,13.0,13.0,10.0
105.0,126.0,0.4,0.4166666666666667,12,23,8,25,24,8,31,31,33,32,19,8,3,8,8,3,19,4,19,17,5,42.1,75.0,42.1,47.1,60.0,5,2,4,3,0,8,6,4,3,0,62.5,33.3,100.0,100.0,0,2,0,5,5,2,6,0,8,9,4,33.3,0,62.5,55.6,50.0,4,5,0,0,0,12,7,2,2,1,16,12,2,2,1,5,1,6,6,3,1,3,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,31.0,30.0,27.0,26.0,26.0
107.0,129.0,0.5,0.46153846153846156,13,24,6,17,6,9,31,18,26,27,23,9,2,5,3,3,16,3,9,6,8,56.3,66.7,55.6,50.0,37.5,2,2,3,0,2,3,4,3,0,3,66.7,50.0,100.0,0,66.7,4,0,4,0,1,6,0,6,2,6,66.7,0,66.7,0,16.7,0,2,0,1,1,4,4,5,3,0,4,6,5,4,1,2,1,9,2,2,1,6,1,1,2,1,1,0,0,0,1,2,1,0,1,1,2,0,0,1,26.0,24.0,22.0,16.0,16.0
98.0,114.0,0.5,0.42857142857142855,14,0,0,3,5,25,1,1,15,16,38,0,0,1,2,7,1,0,2,6,19,0,0,50.0,33.3,36.8,0,0,0,0,9,0,0,0,0,11,0,0,0,0,81.8,0,0,1,1,2,1,0,1,4,8,0,0,100.0,25.0,25.0,0,0,3,1,3,0,0,0,0,6,0,0,3,1,9,0,0,1,1,5,0,0,0,1,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1.0,0.0,-2.0,-3.0,-10.0
116.0,114.0,0.5,0.4666666666666667,15,29,6,24,9,11,39,31,41,33,29,12,3,8,4,4,24,3,19,10,10,50.0,100.0,42.1,40.0,40.0,2,0,2,0,0,2,0,2,0,0,100.0,0,100.0,0,0,3,0,6,1,3,5,0,10,4,8,60.0,0,60.0,25.0,37.5,2,6,0,2,0,8,9,0,6,1,10,15,0,8,1,8,0,8,5,1,4,0,2,4,3,1,3,0,0,1,1,1,3,2,3,0,1,0,1,0,12.0,8.0,8.0,7.0,2.0
120.0,99.0,0.6,0.5,16,9,32,6,22,27,32,34,27,35,33,4,10,3,9,10,7,23,4,18,18,57.1,43.5,75.0,50.0,55.6,0,6,0,3,4,0,6,1,6,5,0,100.0,0,50.0,80.0,1,6,0,1,3,2,10,0,5,7,50.0,60.0,0,20.0,42.9,1,3,3,1,0,4,4,5,6,6,5,7,8,7,6,2,7,1,8,4,1,2,1,3,5,0,0,0,1,1,1,0,0,6,1,2,0,1,2,0,27.0,18.0,16.0,15.0,11.0
122.0,108.0,0.6,0.5294117647058824,17,15,32,25,21,4,26,39,28,38,33,5,12,9,8,2,15,21,12,17,5,33.3,57.1,75.0,47.1,40.0,4,4,0,3,0,5,4,0,7,0,80.0,100.0,0,42.9,0,1,4,7,2,0,5,8,10,5,0,20.0,50.0,70.0,40.0,0,0,0,0,0,11,3,4,3,6,3,3,4,3,6,14,3,7,3,8,1,0,2,1,4,0,1,0,3,0,0,1,2,0,4,3,0,0,1,0,3,16.0,15.0,11.0,9.0,9.0
100.0,117.0,0.6,0.5,18,7,2,0,0,0,26,3,3,3,3,2,1,0,0,0,8,1,0,3,0,25.0,100.0,0,0,0,2,0,0,0,0,2,0,0,2,0,100.0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,16.7,0,0,0,0,2,0,0,0,0,1,1,0,1,1,3,1,0,1,1,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0
98.0,100.0,0.7,0.5263157894736842,19,20,2,18,5,10,26,28,34,16,26,8,1,7,1,4,17,3,14,4,7,47.1,33.3,50.0,25.0,57.1,0,0,3,2,1,0,0,3,3,1,0,0,100.0,66.7,100.0,4,0,1,1,1,8,0,5,2,3,50.0,0,20.0,50.0,33.3,0,1,0,1,1,4,4,7,3,7,4,5,7,4,8,2,1,1,1,4,1,3,2,1,1,0,2,0,1,1,2,1,3,3,1,1,1,0,0,0,22.0,18.0,9.0,7.0,5.0
116.0,113.0,0.6,0.5,20,35,18,4,3,6,38,29,24,34,14,15,4,1,1,2,25,10,3,2,6,60.0,40.0,33.3,50.0,33.3,0,7,2,1,0,2,8,2,4,0,0,87.5,100.0,25.0,0,5,3,0,0,2,10,5,2,0,3,50.0,60.0,0,0,66.7,0,0,0,5,0,6,2,3,6,1,6,2,3,11,1,8,1,2,1,0,5,1,0,2,1,3,1,0,1,2,2,0,0,1,0,1,1,0,1,0,5.0,5.0,1.0,-1.0,-1.0
91.0,115.0,0.6,0.5238095238095238,21,25,17,23,12,6,34,30,26,34,33,8,7,9,5,3,15,10,20,9,6,53.3,70.0,45.0,55.6,50.0,7,1,1,0,0,8,1,1,1,0,87.5,100.0,100.0,0,0,2,2,4,2,0,7,3,10,5,0,28.6,66.7,40.0,40.0,0,4,1,0,1,5,16,5,3,2,5,20,6,3,3,10,5,2,1,7,0,2,2,1,3,1,2,1,0,3,2,4,1,1,2,4,0,1,0,0,6,27.0,25.0,21.0,20.0,18.0
112.0,118.0,0.6,0.5454545454545454,22,29,42,6,7,5,38,40,31,32,19,12,13,2,2,2,21,24,4,3,10,57.1,54.2,50.0,66.7,20.0,3,9,2,2,0,6,10,2,4,0,50.0,90.0,100.0,50.0,0,2,7,0,1,1,5,12,0,2,5,40.0,58.3,0,50.0,20.0,2,2,6,0,0,8,4,3,7,1,10,6,9,7,1,8,8,1,2,2,3,3,2,2,0,0,1,1,2,0,3,1,1,1,1,1,0,1,0,0,11.0,11.0,8.0,6.0,3.0
119.0,106.0,0.7,0.5652173913043478,23,10,20,22,17,4,19,35,37,31,16,3,8,9,7,1,6,15,21,11,3,50.0,53.3,42.9,63.6,33.3,3,3,1,0,2,4,3,1,0,3,75.0,100.0,100.0,0,66.7,1,1,3,3,0,3,4,8,4,0,33.3,25.0,37.5,75.0,0,0,2,0,3,2,1,8,5,5,6,1,10,5,8,8,1,9,8,2,0,0,3,2,3,1,1,0,1,0,0,1,2,2,3,0,0,0,0,1,1,16.0,15.0,15.0,11.0,7.0
